cluster_id,h3_cell,lat,lon,violation_count,police_station,primary_violation,heavy_pct,repeat_pct,junction_pct,top_hours,spillover_index,persistence_index,zone_risk_index,zone_type,active_days,burst_days,petrol_pump_reduction,petrol_pump_new_risk,location_sample
33,89618925b2bffff,12.959353,77.577342,1425,City Market,WRONG PARKING,16.1,19.4,100.0,"[6, 23, 4]",2.6,8.6,5.88,SEMI-CHRONIC,129,6,171,5.17,"Dispensary Road, Kalasipalyam, Bengaluru, Karnataka. Pin-560002 (India)"
11,8961892e937ffff,12.983855,77.603356,3079,Shivajinagar,WRONG PARKING,2.3,18.4,100.0,"[4, 5, 3]",3.51,9.4,5.87,SEMI-CHRONIC,141,6,369,5.17,"Infantry Road, Prestige Central, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001"
1,8960145b59bffff,12.964325,77.576638,8585,City Market,WRONG PARKING,5.3,16.7,100.0,"[19, 20, 4]",2.78,10.0,5.83,CHRONIC,152,6,1030,5.13,"BGS Flyover, Kalasipalyam, K.R Market, Bengaluru Central City Corporation, Benga"
80,8960145b437ffff,12.975468,77.581607,740,Upparpet,WRONG PARKING,20.5,17.7,100.0,"[23, 4, 2]",3.13,6.87,5.82,SEMI-CHRONIC,103,4,88,5.12,"Y Ramachandra Road, Maharani College Junction, Gandhi Nagar, Bengaluru, Karnatak"
126,8960145b10fffff,12.988469,77.550176,493,Vijayanagara,WRONG PARKING,13.4,31.2,100.0,"[4, 5, 21]",2.67,5.73,5.79,SEMI-CHRONIC,86,7,59,5.1,"Chord Road, Shivanahalli Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-56001"
8,8961892e9bbffff,12.980889,77.610168,4257,Shivajinagar,WRONG PARKING,2.3,23.2,99.9,"[5, 4, 6]",2.33,9.47,5.79,CHRONIC,142,5,510,5.1,"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka"
29,8961892e9a3ffff,12.97962,77.607102,1577,Shivajinagar,NO PARKING,3.3,32.7,100.0,"[5, 4, 2]",1.5,8.4,5.77,SEMI-CHRONIC,126,8,189,5.08,"Infantry Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (Ind"
92,8960145b103ffff,12.985562,77.553183,658,Rajajinagar,NO PARKING,2.7,29.2,100.0,"[2, 3, 0]",3.45,6.2,5.76,SEMI-CHRONIC,93,7,78,5.07,"Vatal Nagaraj Road, Bhashyam Nagar, Rajaji Nagar, Bengaluru, Karnataka. Pin-5600"
24,8960145b16bffff,12.997518,77.549,1891,Vijayanagara,WRONG PARKING,1.8,22.1,100.0,"[3, 5, 4]",2.63,8.87,5.75,CHRONIC,133,4,226,5.06,"Padmabhushan Dr MC Modi Road, Phase 1, Manjunatha Nagar, Rajaji Nagar, Bengaluru"
38,89618925b63ffff,12.963862,77.581647,1329,Halasuru Gate,WRONG PARKING,16.9,13.5,100.0,"[4, 5, 3]",2.38,8.6,5.74,CHRONIC,129,6,159,5.05,"SP Road, Thigalarpet, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)"
65,8960145b423ffff,12.978769,77.581042,889,Upparpet,NO PARKING,8.8,29.0,79.1,"[3, 4, 2]",2.88,7.73,5.71,SEMI-CHRONIC,116,6,106,5.02,"Kalidasa Road, Gandhinagar, Nehru Nagar, Bengaluru Central City Corporation, Ben"
87,8961892e923ffff,12.984545,77.603171,681,Shivajinagar,WRONG PARKING,2.5,20.9,91.6,"[4, 6, 2]",4.03,6.8,5.66,SEMI-CHRONIC,102,5,81,4.98,"Chandni Chowk Road, Balappa Garden, Shivaji Nagar, Bengaluru, Karnataka. Pin-560"
252,8960145b173ffff,12.990467,77.551046,220,Rajajinagar,WRONG PARKING,20.0,42.3,100.0,"[21, 4, 19]",3.33,4.13,5.66,SEMI-CHRONIC,62,4,26,4.98,"Sri B Gangaiah Road, Shivanahalli Junction, Rajaji Nagar, Bengaluru, Karnataka. "
118,8960145b5c3ffff,12.971526,77.576619,541,City Market,WRONG PARKING,17.6,15.2,100.0,"[0, 4, 3]",2.69,6.73,5.64,SEMI-CHRONIC,101,5,64,4.96,"AS Char Main Road, Balepete, Chickpete, Bengaluru, Karnataka. Pin-560053 (India)"
20,8960145b5c7ffff,12.969691,77.575525,2394,City Market,WRONG PARKING,10.0,20.9,61.7,"[2, 4, 5]",3.21,9.67,5.63,CHRONIC,145,3,287,4.95,"AS Char Main Road, Chickpete, Bengaluru, Karnataka. Pin-560053 (India)"
32,8960145b3b7ffff,12.998291,77.552514,1429,Malleshwaram,WRONG PARKING,1.7,17.3,100.0,"[3, 1, 2]",2.82,8.13,5.61,CHRONIC,122,6,171,4.94,"80 Feet Ring Road, Navarang Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-5600"
156,8960145b42fffff,12.979729,77.579362,395,Upparpet,WRONG PARKING,23.5,23.8,100.0,"[20, 19, 3]",1.98,5.8,5.59,CHRONIC,87,5,47,4.92,"Seshadri Road, R Subanna Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 "
125,8960145b4dbffff,12.980313,77.602638,496,Shivajinagar,WRONG PARKING,5.6,24.4,99.6,"[3, 5, 2]",2.75,6.0,5.58,SEMI-CHRONIC,90,4,59,4.91,"Infantry Road, Prestige Central, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001"
189,89618924a73ffff,12.917076,77.573835,321,Jayanagara,NO PARKING,24.9,15.6,97.2,"[21, 22, 5]",3.31,6.33,5.57,SEMI-CHRONIC,95,6,38,4.9,"Konanakunte Main Road, Banashankari Bus Stand Junction, JP Nagar Phase 1, Bengal"
57,89618925b67ffff,12.962802,77.578162,995,City Market,WRONG PARKING,8.9,10.6,100.0,"[0, 19, 5]",2.2,8.73,5.55,SEMI-CHRONIC,131,8,119,4.88,"Kalasipalyam Main Road, Mothinagar, Kalasipalyam, Bengaluru, Karnataka. Pin-5600"
14,89618925b7bffff,12.964633,77.584116,2655,Halasuru Gate,WRONG PARKING,4.7,6.5,99.9,"[5, 4, 0]",2.86,9.07,5.54,SEMI-CHRONIC,136,9,318,4.88,"Pailwan M Krishnappa Road, Shoukath Mohalla, Nagartapete, Bengaluru, Karnataka. "
103,8960145b32bffff,13.010832,77.550326,611,Malleshwaram,WRONG PARKING,21.1,13.6,98.7,"[2, 0, 1]",2.09,6.2,5.51,SEMI-CHRONIC,93,5,73,4.85,"Da Ra Bendre Road, Kirloskar Foundry, Yeshwanthpur Suburb Stage 2, Yeshwanthpur,"
62,8960145a6d7ffff,12.944997,77.57152,925,Basavanagudi,NO PARKING,1.8,6.6,100.0,"[5, 4, 22]",3.36,8.33,5.5,SEMI-CHRONIC,125,9,111,4.84,"Gandhi Bazar Road, Gandhi Bazar Circle, Basavanagudi, Bengaluru, Karnataka. Pin-"
135,89618925b03ffff,12.955572,77.58575,448,Wilson Garden,NO PARKING,4.0,6.7,100.0,"[21, 22, 4]",3.55,8.07,5.48,CHRONIC,121,4,53,4.82,"Lalbagh Main Road, Pride Hulkul, Vinoba Nagar, Kalasipalyam, Bengaluru, Karnatak"
124,8960145b1a7ffff,12.977171,77.54525,508,Vijayanagara,NO PARKING,0.6,30.7,100.0,"[5, 6, 23]",2.58,4.73,5.48,SEMI-CHRONIC,71,5,60,4.82,"G Narayana Kumar Road, Oddarapalya, Agrahara Dasarahalli, Bengaluru, Karnataka. "
3,89618920923ffff,12.933558,77.690979,6749,HAL Old Airport,NO PARKING,2.4,65.7,0.0,"[22, 0, 23]",2.62,7.2,5.46,SEMI-CHRONIC,108,5,809,4.8,"Outer Ring Road, Prestige Silver Crest, Kadubisanahalli, Bengaluru, Karnataka. P"
6,8961892e917ffff,12.982273,77.61064,4874,Shivajinagar,WRONG PARKING,3.2,24.0,44.9,"[5, 3, 4]",3.23,10.0,5.46,CHRONIC,150,6,584,4.8,"Veera Pillai Street, Nethaji Subhas Chadra Bose Circle, Shivaji Nagar, Bengaluru"
85,8960145b5d7ffff,12.967589,77.577862,695,City Market,WRONG PARKING,7.9,13.1,90.4,"[4, 5, 3]",3.41,6.67,5.46,SEMI-CHRONIC,100,5,83,4.8,"Avenue Road, Avenue Circle, Chickpete, Bengaluru, Karnataka. Pin-560002 (India)"
94,8961892e9afffff,12.98088,77.604598,646,Shivajinagar,WRONG PARKING,5.6,16.7,100.0,"[5, 4, 6]",2.36,6.93,5.46,CHRONIC,104,7,77,4.8,"Lady Curzon Road, Shivaji Nagar Intersection Junction, Shivaji Nagar, Bengaluru,"
95,89618925a23ffff,12.962184,77.598793,633,Ashok Nagar,NO PARKING,0.6,40.8,100.0,"[22, 23, 0]",1.9,3.53,5.46,SEMI-CHRONIC,53,3,75,4.8,"Cronwell Road, Langford Garden, Richmond Town, Bengaluru, Karnataka. Pin-560025 "
84,8960145a22fffff,12.965393,77.537437,710,Vijayanagara,WRONG PARKING,3.8,23.0,100.0,"[21, 4, 6]",3.15,4.6,5.45,SEMI-CHRONIC,69,4,85,4.8,"Sri Sankasta Hara Ganapati Temple Road, RPC Layout, Vijaya Nagar Stage 2, Bengal"
230,89618925893ffff,12.930714,77.609528,254,Mico Layout,PARKING IN A MAIN ROAD,23.6,22.4,98.4,"[20, 21, 6]",3.3,4.8,5.44,SEMI-CHRONIC,72,7,30,4.79,"1st Main Road, Prestige Lexington Towers, Sadduguntepalya, Bengaluru, Karnataka."
45,8960145b1b7ffff,12.974565,77.547319,1137,Vijayanagara,WRONG PARKING,2.7,20.2,100.0,"[23, 5, 4]",2.96,5.47,5.44,SEMI-CHRONIC,82,4,136,4.79,"Chord Road, Sindhya Sunshine Apartment, Vijaya Nagar, Bengaluru, Karnataka. Pin-"
53,8960145a2b7ffff,12.953658,77.542991,1090,Byatarayanapura,WRONG PARKING,7.3,11.3,100.0,"[4, 5, 20]",2.58,7.07,5.43,SEMI-CHRONIC,106,5,130,4.78,"Mysore Road, Satellite Bus Stand Junction, New Timber Yard Layout, Bengaluru, Ka"
56,8960145a69bffff,12.942945,77.571201,1027,Basavanagudi,WRONG PARKING,0.8,8.1,100.0,"[5, 6, 7]",3.06,7.73,5.41,CHRONIC,116,5,123,4.76,"Police Station Road, Kallappa Block, Basavanagudi, Bengaluru, Karnataka. Pin-560"
50,8960145b5dbffff,12.972779,77.58047,1102,Upparpet,NO PARKING,4.3,17.3,100.0,"[4, 6, 5]",1.62,7.27,5.38,SEMI-CHRONIC,109,6,132,4.73,"Hospital Road, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009"
68,8960145b49bffff,12.971384,77.597587,876,Cubbon Park,NO PARKING,5.1,11.0,99.9,"[5, 2, 6]",2.15,7.6,5.38,SEMI-CHRONIC,114,4,105,4.73,"Walton Road, Walton Road Circle, Shanthala Nagar, Bengaluru, Karnataka. Pin-5600"
17,8960145b307ffff,13.008444,77.554703,2524,Malleshwaram,WRONG PARKING,2.2,14.9,88.0,"[4, 5, 23]",1.74,9.13,5.38,CHRONIC,137,5,302,4.73,"80 Feet Ring Road, Dr Rajkumar Road 17th Cross Junction, Rajaji Nagar, Bengaluru"
105,8960145b52bffff,12.975624,77.561376,590,Magadi Road,WRONG PARKING,7.5,9.7,100.0,"[5, 22, 2]",2.33,7.13,5.37,CHRONIC,107,8,70,4.73,"G Narayana Kumar Road, Annapurneshwari Industrial Area, Magadi Road Area, Bengal"
133,8960145b10bffff,12.989774,77.553231,458,Rajajinagar,WRONG PARKING,17.0,14.8,100.0,"[22, 23, 21]",2.71,4.47,5.36,SEMI-CHRONIC,67,4,54,4.72,"17th Main Road, KEB Quarters, Block 3, Rajaji Nagar, Bengaluru, Karnataka. Pin-5"
114,8960145b583ffff,12.964688,77.573898,548,City Market,WRONG PARKING,25.5,11.3,100.0,"[19, 18, 2]",1.94,4.53,5.35,SEMI-CHRONIC,68,3,65,4.71,"Mysore Road, Chanda Nagar, Sultanpete, Bengaluru, Karnataka. Pin-560053 (India)"
52,8961892e933ffff,12.983884,77.60533,1098,Shivajinagar,WRONG PARKING,3.5,8.5,84.5,"[5, 6, 4]",3.06,8.13,5.34,SEMI-CHRONIC,122,7,131,4.7,"Meenakshi Koil Street, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
59,8960145b6a3ffff,12.99372,77.589388,969,High ground,WRONG PARKING,0.3,38.6,70.5,"[22, 21, 23]",3.22,3.73,5.34,SEMI-CHRONIC,56,4,116,4.7,"Palace Road, Kumar Park, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
171,8960145b5cfffff,12.97432,77.574775,358,Upparpet,WRONG PARKING,12.6,22.3,100.0,"[0, 4, 5]",1.98,5.6,5.33,SEMI-CHRONIC,84,2,42,4.69,"Dharmambudi Kere Road, Balepet Circle, Chickpete, Bengaluru, Karnataka. Pin-5600"
89,8960145849bffff,12.972557,77.537965,679,Vijayanagara,WRONG PARKING,1.6,10.8,100.0,"[4, 5, 6]",2.96,6.47,5.33,SEMI-CHRONIC,97,6,81,4.69,"17th Cross Road, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)"
37,8960145b547ffff,12.977347,77.570779,1350,Chamarajpet,NO PARKING,0.9,11.0,100.0,"[2, 20, 19]",2.52,7.07,5.32,SEMI-CHRONIC,106,5,162,4.68,"Railway Station Road, Majestic Circle, Majestic, Bengaluru, Karnataka. Pin-56002"
174,896014586d3ffff,12.997949,77.547455,352,Vijayanagara,WRONG PARKING,0.3,29.8,100.0,"[1, 4, 22]",2.73,4.8,5.32,SPORADIC,72,2,42,4.68,"Padmabhushan Dr MC Modi Road, Indiranagar, Rajaji Nagar, Bengaluru, Karnataka. P"
158,8960145b11bffff,12.986869,77.555565,393,Rajajinagar,WRONG PARKING,6.9,14.0,100.0,"[22, 5, 6]",2.44,6.67,5.3,SEMI-CHRONIC,100,7,47,4.66,"10th Main Road, Bescom Employees House Building Cooperative Society, Rajaji Naga"
272,8960145b557ffff,12.974925,77.574065,197,Upparpet,WRONG PARKING,11.2,26.4,100.0,"[4, 2, 3]",4.32,3.93,5.29,SEMI-CHRONIC,59,2,23,4.66,"Dharmambudi Kere Road, Upparpet Junction, Gandhi Nagar, Bengaluru, Karnataka. Pi"
82,89601458493ffff,12.968832,77.536981,734,Vijayanagara,WRONG PARKING,0.4,13.9,100.0,"[5, 22, 23]",2.2,6.8,5.29,SEMI-CHRONIC,102,6,88,4.66,"1st Main Road, Police Quarters, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 ("
140,89601458497ffff,12.967737,77.53594,439,Vijayanagara,NO PARKING,0.9,10.7,100.0,"[5, 6, 4]",3.34,6.13,5.28,SEMI-CHRONIC,92,4,52,4.65,"20th Main Road, Ganga Government Quarters, MC Layout, Vijaya Nagar, Bengaluru, K"
78,8960145b3afffff,13.002852,77.550106,756,Malleshwaram,WRONG PARKING,2.1,14.8,100.0,"[2, 0, 3]",2.42,5.87,5.28,CHRONIC,88,7,90,4.65,"10th Cross Road, Dr M Munivenkataswamy Circle, Rajaji Nagar, Bengaluru, Karnatak"
154,8960145b113ffff,12.984847,77.554501,398,Rajajinagar,WRONG PARKING,2.5,16.8,100.0,"[3, 2, 4]",2.52,6.4,5.28,SEMI-CHRONIC,96,7,47,4.65,"Old Mysore Road, Bhashyam Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010"
179,89618925a27ffff,12.962012,77.596219,340,Ashok Nagar,NO PARKING,0.6,42.6,100.0,"[22, 23, 21]",2.51,2.13,5.27,SPORADIC,32,1,40,4.64,"Andree Road, Ashirwadam Junction, Shanti Nagar, Bengaluru, Karnataka. Pin-560027"
152,8960145b1abffff,12.982015,77.548916,402,Magadi Road,WRONG PARKING,10.2,17.9,100.0,"[21, 22, 1]",2.76,4.53,5.27,SPORADIC,68,3,48,4.64,"20th Main Road, Jedehalli, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India"
18,8960145a24fffff,12.973552,77.55095,2514,Magadi Road,NO PARKING,1.3,7.8,100.0,"[6, 5, 4]",2.26,7.47,5.26,SEMI-CHRONIC,112,6,301,4.63,"Main Road, Mallige Thotta, Cholurpalya, Bengaluru, Karnataka. Pin-560023 (India)"
148,8960145b097ffff,12.983682,77.577523,407,High ground,NO PARKING,8.8,9.3,100.0,"[2, 3, 21]",3.08,5.67,5.25,SEMI-CHRONIC,85,2,48,4.62,"Race Course Cross Road, C Ranga Swamy Circle, Gandhi Nagar, Bengaluru, Karnataka"
235,8960145b14fffff,12.994779,77.554557,246,Rajajinagar,NO PARKING,15.4,22.4,100.0,"[3, 4, 21]",3.4,3.93,5.24,SEMI-CHRONIC,59,1,29,4.61,"12th Main Road, Police Quarters, Block 2, Rajaji Nagar, Bengaluru, Karnataka. Pi"
127,896189259bbffff,12.928034,77.580741,493,Jayanagara,NO PARKING,1.0,29.4,100.0,"[3, 23, 0]",1.64,3.93,5.24,SPORADIC,59,2,59,4.61,"Kanti Sweets, 6th Main Road, Jayanagar 4th Block, Byrasandra, Bengaluru South Ci"
16,89601690193ffff,13.185319,77.679951,2548,Chikkajala,NO PARKING,33.2,12.6,0.0,"[23, 19, 22]",3.22,9.47,5.18,CHRONIC,142,7,305,4.56,"Unnamed Road, Begur Chikkanahalli, Bengaluru, Karnataka. Pin-562149 (India)"
183,8960145a24bffff,12.9744,77.552023,334,Magadi Road,NO PARKING,1.2,11.4,100.0,"[6, 1, 0]",3.57,5.8,5.17,SEMI-CHRONIC,87,5,40,4.55,"G Narayana Kumar Road, Mehta Ambience, Manjunatha Nagar, Cholurpalya, Bengaluru,"
137,896014586c7ffff,12.998876,77.541253,445,Vijayanagara,WRONG PARKING,1.6,22.5,100.0,"[5, 0, 4]",1.65,5.07,5.17,SEMI-CHRONIC,76,6,53,4.55,"Dr Siddaiah Puranik Marg, Shankarmata Circle, Basaveshwara Nagar, Bengaluru, Kar"
138,8960145b18bffff,12.980725,77.558181,444,Magadi Road,NO PARKING,4.1,4.5,100.0,"[23, 22, 7]",2.24,7.27,5.16,SEMI-CHRONIC,109,6,53,4.54,"80 Feet Ring Road, SSI Industrial Area, Block 5, Rajaji Nagar, Bengaluru, Karnat"
120,89618925c03ffff,12.925309,77.618962,527,Madiwala,NO PARKING,12.1,34.0,60.5,"[4, 19, 23]",2.0,3.87,5.15,SEMI-CHRONIC,58,3,63,4.53,"18th Main Road, Block 2, Koramangala, Bengaluru, Karnataka. Pin-560068 (India)"
106,8960145a06bffff,12.952223,77.540856,590,Byatarayanapura,NO PARKING,6.4,3.7,100.0,"[19, 7, 1]",2.41,5.87,5.12,SEMI-CHRONIC,88,5,70,4.51,"A Cross Road, BR Pura, Bengaluru, Karnataka. Pin-560026 (India)"
71,89618925c6bffff,12.936012,77.615852,868,Adugodi,NO PARKING,3.1,6.6,89.3,"[2, 4, 6]",2.26,7.0,5.11,SEMI-CHRONIC,105,7,104,4.5,"20th Main Road, Block 7, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)"
256,8960145b1d7ffff,12.983545,77.560263,214,Rajajinagar,WRONG PARKING,7.0,23.4,100.0,"[5, 22, 3]",3.48,4.27,5.11,SEMI-CHRONIC,64,4,25,4.5,"80 Feet Ring Road, Block 4M, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (Ind"
144,89618925983ffff,12.926502,77.585726,425,Jayanagara,NO PARKING,1.2,6.8,100.0,"[2, 4, 3]",3.07,5.6,5.1,SEMI-CHRONIC,84,4,51,4.49,"11th Main Road, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)"
96,8961892530bffff,12.95936,77.645456,630,Jeevanbheemanagar,NO PARKING,47.6,10.5,9.5,"[21, 22, 23]",2.68,6.67,5.09,SEMI-CHRONIC,100,5,75,4.48,"Golf Avenue Road, Muniallappa Garden, Kodihalli, Bengaluru, Karnataka. Pin-56000"
172,8961892ed77ffff,12.974036,77.62343,357,Halasur,NO PARKING,21.3,49.6,0.0,"[23, 22, 21]",2.56,5.4,5.07,SEMI-CHRONIC,81,3,42,4.46,"Old Madras Road, Someshwarpura, Halasuru, Bengaluru, Karnataka. Pin-560008 (Indi"
86,8961892e3b7ffff,12.996722,77.66935,694,Mahadevapura,PARKING IN A MAIN ROAD,40.9,13.4,0.0,"[4, 5, 21]",2.92,7.33,5.05,SEMI-CHRONIC,110,5,83,4.44,"MBT Road, Tin Factory Junction, Dooravani Nagar, Bengaluru, Karnataka. Pin-56001"
104,89618925d97ffff,12.908065,77.600795,601,Mico Layout,NO PARKING,1.0,19.3,100.0,"[0, 5, 3]",1.98,3.47,5.04,SEMI-CHRONIC,52,3,72,4.44,"1st Cross Road, GD Mara Slum, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-5600"
197,89618925b0bffff,12.958443,77.586565,310,Wilson Garden,NO PARKING,5.2,4.5,100.0,"[2, 23, 3]",3.24,6.07,5.03,CHRONIC,91,4,37,4.43,"Lalbagh Main Road, SGN Layout, Kalasipalyam, Bengaluru, Karnataka. Pin-560027 (I"
139,8960145b4b3ffff,12.968017,77.588552,441,Halasuru Gate,NO PARKING,3.2,5.7,100.0,"[23, 5, 21]",2.71,5.27,5.03,SEMI-CHRONIC,79,4,52,4.43,"Kasturba Road, Hudson Circle, Nagartapete, Bengaluru, Karnataka. Pin-560002 (Ind"
199,896014586d7ffff,12.997957,77.543785,306,Vijayanagara,WRONG PARKING,7.2,14.1,100.0,"[23, 6, 0]",2.94,4.2,5.01,SEMI-CHRONIC,63,4,36,4.41,"Padmabhushan Dr MC Modi Road, Adarsha Layout, Basaveshwara Nagar, Bengaluru, Kar"
246,89618925a33ffff,12.961235,77.600095,226,Ashok Nagar,NO PARKING,1.8,30.1,100.0,"[23, 2, 4]",3.11,2.87,5.0,SPORADIC,43,3,27,4.4,"Rhenius Street, Nanjappa Circle, Richmond Town, Bengaluru, Karnataka. Pin-560025"
28,8960145a223ffff,12.964773,77.539161,1590,Vijayanagara,WRONG PARKING,0.6,7.0,84.4,"[6, 21, 5]",2.72,5.87,4.99,SEMI-CHRONIC,88,5,190,4.39,"Sri Sankasta Hara Ganapati Temple Road, RPC Layout, Vijaya Nagar Stage 2, Bengal"
204,8960145b18fffff,12.979987,77.55448,295,Magadi Road,NO PARKING,5.4,6.8,100.0,"[5, 6, 4]",2.61,6.33,4.99,SEMI-CHRONIC,95,5,35,4.39,"80 Feet Ring Road, Sri SV Chenna Krishnaiah Circle, Rajaji Nagar, Bengaluru, Kar"
41,8960169052fffff,13.183751,77.679717,1286,Chikkajala,NO PARKING,39.4,11.5,0.0,"[7, 19, 8]",1.59,9.27,4.99,CHRONIC,139,6,154,4.39,"Unnamed Road, Begur Chikkanahalli, Bengaluru, Karnataka. Pin-562149 (India)"
292,89618925373ffff,12.960329,77.643567,181,Jeevanbheemanagar,NO PARKING,35.9,5.5,100.0,"[23, 22, 0]",2.38,4.53,4.97,SEMI-CHRONIC,68,2,21,4.37,"Old Airport Road, Carlton Towers, HAL Stage 2, Indiranagar, Bengaluru, Karnataka"
