vehicle_number,vehicle_type,offense_count,primary_violation,police_stations,first_offense,last_offense,fine_tier,illustrative_fine,is_watchlist_30d
FKN00GL24491,SCOOTER,18,WRONG PARKING,Kodigehalli,2023-12-01,2024-03-24,CRITICAL,5000,1
FKN00GL60534,SCOOTER,18,NO PARKING,Upparpet,2023-11-11,2024-04-06,CRITICAL,5000,1
FKN00GL2715,MOTOR CYCLE,18,NO PARKING,HAL Old Airport,2023-11-15,2024-03-28,CRITICAL,5000,1
FKN00GL7354,SCOOTER,18,PARKING IN A MAIN ROAD,HAL Old Airport,2024-01-01,2024-03-18,CRITICAL,5000,1
FKN00GL11705,SCOOTER,18,WRONG PARKING,High ground,2023-11-14,2024-01-24,CRITICAL,5000,1
FKN00GL0930,PASSENGER AUTO,18,WRONG PARKING,Malleshwaram,2023-11-10,2024-03-09,CRITICAL,5000,1
FKN00GL6629,MOTOR CYCLE,18,WRONG PARKING,Kodigehalli,2024-01-01,2024-02-06,CRITICAL,5000,1
FKN00GL4341,MOTOR CYCLE,18,WRONG PARKING,Vijayanagara,2023-12-06,2024-03-28,CRITICAL,5000,1
FKN00GL1049,SCOOTER,18,NO PARKING,HAL Old Airport,2024-02-20,2024-03-28,CRITICAL,5000,1
FKN00GL6652,TEMPO,18,WRONG PARKING,Rajajinagar,2024-01-10,2024-04-03,CRITICAL,5000,1
FKN00GL12904,CAR,17,NO PARKING,Halasur,2023-12-02,2024-02-10,CRITICAL,5000,1
FKN00GL13988,SCOOTER,17,WRONG PARKING,City Market,2023-11-25,2024-03-09,CRITICAL,5000,1
FKN00GL18168,SCOOTER,17,NO PARKING,HAL Old Airport,2023-11-15,2024-02-23,CRITICAL,5000,1
FKN00GL3695,SCOOTER,17,NO PARKING,HAL Old Airport,2024-01-10,2024-04-06,CRITICAL,5000,1
FKN00GL73563,SCOOTER,17,NO PARKING,Upparpet,2023-11-12,2024-03-23,CRITICAL,5000,1
FKN00GL0049,SCOOTER,17,WRONG PARKING,Electronic City,2023-11-26,2024-03-10,CRITICAL,5000,1
FKN00GL8154,SCOOTER,17,WRONG PARKING,Kodigehalli,2023-12-17,2024-02-24,CRITICAL,5000,1
FKN00GL0397,SCOOTER,17,NO PARKING,"Upparpet, City Market",2023-11-12,2024-04-07,CRITICAL,5000,1
FKN00GL5280,CAR,17,WRONG PARKING,Rajajinagar,2023-11-10,2024-04-03,CRITICAL,5000,1
FKN00GL11577,SCOOTER,17,NO PARKING,Upparpet,2023-11-12,2024-04-07,CRITICAL,5000,1
FKN00GL7952,LORRY/GOODS VEHICLE,17,WRONG PARKING,"Hulimavu, Electronic City",2024-02-14,2024-04-07,CRITICAL,5000,1
FKN00GL0889,SCOOTER,17,NO PARKING,HAL Old Airport,2023-12-16,2024-03-15,CRITICAL,5000,1
FKN00GL3502,MOTOR CYCLE,17,NO PARKING,HAL Old Airport,2023-11-15,2024-03-28,CRITICAL,5000,1
FKN00GL41563,TEMPO,17,WRONG PARKING,Rajajinagar,2023-11-18,2024-04-03,CRITICAL,5000,1
FKN00GL17808,MOTOR CYCLE,17,NO PARKING,HAL Old Airport,2023-11-21,2024-03-12,CRITICAL,5000,1
FKN00GL2317,CAR,17,NO PARKING,"Upparpet, Halasuru Gate",2023-11-12,2024-02-23,CRITICAL,5000,1
FKN00GL10031,MOTOR CYCLE,17,NO PARKING,HAL Old Airport,2023-11-21,2024-03-15,CRITICAL,5000,1
FKN00GL7926,CAR,17,NO PARKING,Malleshwaram,2023-12-12,2024-03-19,CRITICAL,5000,1
FKN00GL25145,SCOOTER,17,WRONG PARKING,"Shivajinagar, Cubbon Park",2023-11-13,2024-04-01,CRITICAL,5000,1
FKN00GL111727,MOTOR CYCLE,17,NO PARKING,Upparpet,2023-11-14,2024-01-03,CRITICAL,5000,1
FKN00GL58024,SCOOTER,17,NO PARKING,Shivajinagar,2023-11-15,2024-03-17,CRITICAL,5000,1
FKN00GL1880,SCOOTER,17,NO PARKING,Shivajinagar,2023-11-14,2024-03-29,CRITICAL,5000,1
FKN00GL51416,CAR,17,NO PARKING,Upparpet,2023-12-22,2024-04-06,CRITICAL,5000,1
FKN00GL5111,SCOOTER,17,WRONG PARKING,"Malleshwaram, Rajajinagar",2023-11-09,2024-04-05,CRITICAL,5000,1
FKN00GL2863,SCOOTER,16,WRONG PARKING,Vijayanagara,2023-12-06,2024-02-01,CRITICAL,5000,1
FKN00GL6175,SCOOTER,16,WRONG PARKING,Rajajinagar,2023-11-12,2024-02-02,CRITICAL,5000,1
FKN00GL0088,SCOOTER,16,WRONG PARKING,"High ground, Upparpet",2023-11-14,2024-02-10,CRITICAL,5000,1
FKN00GL40079,SCOOTER,16,NO PARKING,"Hebbala, Kodigehalli",2023-11-11,2024-03-23,CRITICAL,5000,1
FKN00GL9032,SCOOTER,16,NO PARKING,Jeevanbheemanagar,2023-12-14,2024-03-14,CRITICAL,5000,1
FKN00GL38195,PASSENGER AUTO,16,WRONG PARKING,Shivajinagar,2023-11-19,2024-04-04,CRITICAL,5000,1
FKN00GL17572,CAR,16,NO PARKING,Upparpet,2023-12-09,2024-01-19,CRITICAL,5000,1
FKN00GL7945,SCOOTER,16,NO PARKING,Kodigehalli,2024-01-17,2024-02-15,CRITICAL,5000,1
FKN00GL11800,MOTOR CYCLE,16,NO PARKING,Upparpet,2023-11-15,2024-04-08,CRITICAL,5000,1
FKN00GL16020,LGV,16,WRONG PARKING,Upparpet,2023-12-11,2024-04-06,CRITICAL,5000,1
FKN00GL14212,SCOOTER,16,WRONG PARKING,HAL Old Airport,2023-11-29,2024-04-06,CRITICAL,5000,1
FKN00GL9159,SCOOTER,16,WRONG PARKING,Banaswadi,2024-02-01,2024-04-06,CRITICAL,5000,1
FKN00GL62335,SCOOTER,16,WRONG PARKING,"Rajajinagar, Malleshwaram",2023-11-22,2024-04-05,CRITICAL,5000,1
FKN00GL15642,PRIVATE BUS,16,NO PARKING,Madiwala,2023-12-12,2024-04-04,CRITICAL,5000,1
FKN00GL10586,LGV,16,WRONG PARKING,Upparpet,2023-12-09,2024-04-03,CRITICAL,5000,1
FKN00GL3242,SCOOTER,16,NO PARKING,HAL Old Airport,2023-11-15,2024-03-28,CRITICAL,5000,1
FKN00GL32407,CAR,16,NO PARKING,Upparpet,2023-11-11,2024-03-26,CRITICAL,5000,1
FKN00GL14734,SCOOTER,16,NO PARKING,"Rajajinagar, Malleshwaram",2023-11-17,2024-04-07,CRITICAL,5000,1
FKN00GL16984,MOTOR CYCLE,16,NO PARKING,HAL Old Airport,2023-11-15,2024-03-21,CRITICAL,5000,1
FKN00GL54261,SCOOTER,16,NO PARKING,HAL Old Airport,2023-12-09,2024-03-22,CRITICAL,5000,1
FKN00GL1473,LGV,16,WRONG PARKING,"Vijayanagara, Rajajinagar",2023-11-28,2024-03-27,CRITICAL,5000,1
FKN00GL32527,MOTOR CYCLE,16,WRONG PARKING,Shivajinagar,2023-11-11,2024-03-27,CRITICAL,5000,1
FKN00GL35636,SCOOTER,16,NO PARKING,Shivajinagar,2023-11-17,2024-03-07,CRITICAL,5000,1
FKN00GL4516,LGV,16,WRONG PARKING,Upparpet,2023-11-10,2024-04-04,CRITICAL,5000,1
FKN00GL68690,SCOOTER,16,WRONG PARKING,City Market,2023-11-14,2024-03-11,CRITICAL,5000,1
FKN00GL23586,PASSENGER AUTO,16,NO PARKING,Shivajinagar,2023-12-31,2024-03-30,CRITICAL,5000,1
FKN00GL0990,MOTOR CYCLE,16,NO PARKING,HAL Old Airport,2023-12-09,2024-03-20,CRITICAL,5000,1
FKN00GL101845,SCOOTER,16,NO PARKING,Shivajinagar,2023-11-14,2023-12-30,CRITICAL,5000,1
FKN00GL2996,SCOOTER,16,WRONG PARKING,"High ground, Upparpet",2023-11-21,2024-04-02,CRITICAL,5000,1
FKN00GL6780,CAR,16,NO PARKING,"Rajajinagar, Malleshwaram",2023-12-11,2024-03-05,CRITICAL,5000,1
FKN00GL49799,SCOOTER,16,NO PARKING,Shivajinagar,2023-11-12,2024-04-07,CRITICAL,5000,1
FKN00GL17853,MOTOR CYCLE,16,NO PARKING,HAL Old Airport,2023-11-15,2024-03-27,CRITICAL,5000,1
FKN00GL0938,SCOOTER,16,NO PARKING,HAL Old Airport,2024-01-05,2024-03-22,CRITICAL,5000,1
FKN00GL15781,PASSENGER AUTO,16,WRONG PARKING,"Shivajinagar, Jeevanbheemanagar",2023-12-11,2024-03-30,CRITICAL,5000,1
FKN00GL2353,CAR,16,NO PARKING,Upparpet,2023-11-17,2024-04-07,CRITICAL,5000,1
FKN00GL16534,SCOOTER,16,NO PARKING,HAL Old Airport,2023-12-22,2024-03-22,CRITICAL,5000,1
FKN00GL4759,SCOOTER,16,WRONG PARKING,Shivajinagar,2023-11-20,2024-04-04,CRITICAL,5000,1
FKN00GL0923,SCOOTER,16,WRONG PARKING,HAL Old Airport,2023-11-15,2024-03-15,CRITICAL,5000,1
FKN00GL31097,SCOOTER,16,WRONG PARKING,Kodigehalli,2023-11-26,2024-03-05,CRITICAL,5000,1
FKN00GL50347,SCOOTER,16,WRONG PARKING,Upparpet,2023-11-11,2024-04-04,CRITICAL,5000,1
FKN00GL27365,CAR,16,WRONG PARKING,Malleshwaram,2023-11-10,2024-04-07,CRITICAL,5000,1
FKN00GL6630,MOTOR CYCLE,16,WRONG PARKING,Kodigehalli,2024-01-29,2024-03-30,CRITICAL,5000,1
FKN00GL7161,MOTOR CYCLE,16,NO PARKING,Jalahalli,2023-11-16,2024-02-15,CRITICAL,5000,1
FKN00GL0085,SCOOTER,15,WRONG PARKING,Shivajinagar,2023-11-11,2024-04-06,CRITICAL,5000,1
FKN00GL10599,LGV,15,WRONG PARKING,Upparpet,2023-11-21,2024-03-22,CRITICAL,5000,1
FKN00GL86275,SCHOOL VEHICLE,15,NO PARKING,Rajajinagar,2023-11-12,2024-04-08,CRITICAL,5000,1
FKN00GL1911,SCOOTER,15,NO PARKING,Upparpet,2023-12-03,2024-03-22,CRITICAL,5000,1
FKN00GL19357,CAR,15,NO PARKING,Upparpet,2023-11-10,2024-03-29,CRITICAL,5000,1
FKN00GL14388,SCOOTER,15,WRONG PARKING,Upparpet,2023-11-21,2024-04-01,CRITICAL,5000,1
FKN00GL27266,SCOOTER,15,WRONG PARKING,Shivajinagar,2023-11-13,2024-03-09,CRITICAL,5000,1
FKN00GL18293,SCOOTER,15,PARKING IN A MAIN ROAD,HAL Old Airport,2023-12-13,2024-03-18,CRITICAL,5000,1
FKN00GL45098,PASSENGER AUTO,15,WRONG PARKING,"Shivajinagar, Cubbon Park",2023-11-18,2024-03-29,CRITICAL,5000,1
FKN00GL2378,MOTOR CYCLE,15,WRONG PARKING,High ground,2023-11-14,2024-02-08,CRITICAL,5000,1
FKN00GL8211,SCOOTER,15,NO PARKING,Upparpet,2023-11-10,2024-02-28,CRITICAL,5000,1
FKN00GL4211,SCOOTER,15,NO PARKING,Mico Layout,2023-12-08,2024-01-30,CRITICAL,5000,1
FKN00GL17806,SCOOTER,15,NO PARKING,HAL Old Airport,2023-11-17,2024-01-16,CRITICAL,5000,1
FKN00GL41594,LGV,15,WRONG PARKING,"Hulimavu, HSR Layout, Electronic City",2023-11-12,2024-04-07,CRITICAL,5000,1
FKN00GL4184,PASSENGER AUTO,15,NO PARKING,Shivajinagar,2023-11-11,2024-03-30,CRITICAL,5000,1
FKN00GL18450,SCOOTER,15,NO PARKING,"Vijayanagara, Rajajinagar",2023-11-15,2024-02-14,CRITICAL,5000,1
FKN00GL14755,SCOOTER,15,NO PARKING,"Jayanagara, Banashankari, K.S. Layout",2023-12-01,2024-04-01,CRITICAL,5000,1
FKN00GL18326,SCOOTER,15,WRONG PARKING,Kodigehalli,2023-12-16,2024-03-30,CRITICAL,5000,1
FKN00GL20686,SCOOTER,15,WRONG PARKING,Rajajinagar,2023-11-18,2024-01-23,CRITICAL,5000,1
FKN00GL11663,SCOOTER,15,PARKING IN A MAIN ROAD,HAL Old Airport,2024-01-05,2024-03-12,CRITICAL,5000,1
FKN00GL18220,MOTOR CYCLE,15,NO PARKING,HAL Old Airport,2023-11-15,2024-02-23,CRITICAL,5000,1
FKN00GL11015,SCOOTER,15,WRONG PARKING,Shivajinagar,2023-11-16,2024-03-29,CRITICAL,5000,1
FKN00GL15995,MOTOR CYCLE,15,NO PARKING,Shivajinagar,2023-11-12,2024-02-26,CRITICAL,5000,1
FKN00GL8470,CAR,15,NO PARKING,"Upparpet, Chikkajala",2023-11-12,2024-04-06,CRITICAL,5000,1
FKN00GL5016,SCOOTER,15,NO PARKING,"Sheshadripuram, Sadashivanagar",2023-11-18,2024-03-29,CRITICAL,5000,1
FKN00GL1301,SCOOTER,15,NO PARKING,Vijayanagara,2023-11-30,2024-04-01,CRITICAL,5000,1
FKN00GL8821,MOTOR CYCLE,15,NO PARKING,Malleshwaram,2024-03-29,2024-04-04,CRITICAL,5000,1
FKN00GL44125,SCOOTER,15,NO PARKING,Upparpet,2023-11-16,2024-04-03,CRITICAL,5000,1
FKN00GL26501,MOTOR CYCLE,15,WRONG PARKING,Hulimavu,2024-03-13,2024-03-13,CRITICAL,5000,1
FKN00GL26490,SCOOTER,15,WRONG PARKING,Hulimavu,2024-03-13,2024-03-13,CRITICAL,5000,1
FKN00GL11030,LGV,15,WRONG PARKING,Upparpet,2023-11-15,2024-04-04,CRITICAL,5000,1
FKN00GL0369,MOTOR CYCLE,15,NO PARKING,HAL Old Airport,2024-01-04,2024-04-05,CRITICAL,5000,1
FKN00GL38849,MOTOR CYCLE,15,NO PARKING,Upparpet,2023-11-14,2024-02-15,CRITICAL,5000,1
